Zip Code,COUNTYNAME,STATENAME
35004,Saint Clair,Alabama
35005,Jefferson,Alabama
35006,Jefferson,Alabama
35007,Shelby,Alabama
35010,Tallapoosa,Alabama
35011,Tallapoosa,Alabama
35013,Blount,Alabama
35014,Talladega,Alabama
35015,Jefferson,Alabama
35016,Marshall,Alabama
35019,Cullman,Alabama
35020,Jefferson,Alabama
35021,Jefferson,Alabama
35022,Jefferson,Alabama
35023,Jefferson,Alabama
35031,Blount,Alabama
35032,Talladega,Alabama
35033,Cullman,Alabama
35034,Bibb,Alabama
35035,Bibb,Alabama
35036,Jefferson,Alabama
35038,Walker,Alabama
35040,Shelby,Alabama
35041,Jefferson,Alabama
35042,Bibb,Alabama
35043,Shelby,Alabama
35044,Talladega,Alabama
35045,Chilton,Alabama
35046,Chilton,Alabama
35048,Jefferson,Alabama
35049,Blount,Alabama
35051,Shelby,Alabama
35052,Saint Clair,Alabama
35053,Cullman,Alabama
35054,Saint Clair,Alabama
35055,Cullman,Alabama
35056,Cullman,Alabama
35057,Cullman,Alabama
35058,Cullman,Alabama
35060,Jefferson,Alabama
35061,Jefferson,Alabama
35062,Jefferson,Alabama
35063,Walker,Alabama
35064,Jefferson,Alabama
35068,Jefferson,Alabama
35070,Cullman,Alabama
35071,Jefferson,Alabama
35072,Coosa,Alabama
35073,Jefferson,Alabama
35074,Bibb,Alabama
35077,Cullman,Alabama
35078,Shelby,Alabama
35079,Blount,Alabama
35080,Shelby,Alabama
35082,Clay,Alabama
35083,Cullman,Alabama
35085,Chilton,Alabama
35087,Cullman,Alabama
35089,Coosa,Alabama
35091,Jefferson,Alabama
35094,Jefferson,Alabama
35096,Talladega,Alabama
35097,Blount,Alabama
35098,Cullman,Alabama
35111,Jefferson,Alabama
35112,Saint Clair,Alabama
35114,Shelby,Alabama
35115,Shelby,Alabama
35116,Jefferson,Alabama
35117,Jefferson,Alabama
35118,Jefferson,Alabama
35119,Jefferson,Alabama
35120,Saint Clair,Alabama
35121,Blount,Alabama
35123,Jefferson,Alabama
35124,Shelby,Alabama
35125,Saint Clair,Alabama
35126,Jefferson,Alabama
35127,Jefferson,Alabama
35128,Saint Clair,Alabama
35130,Walker,Alabama
35131,Saint Clair,Alabama
35133,Blount,Alabama
35135,Saint Clair,Alabama
35136,Coosa,Alabama
35137,Shelby,Alabama
35139,Jefferson,Alabama
35142,Jefferson,Alabama
35143,Shelby,Alabama
35144,Shelby,Alabama
35146,Saint Clair,Alabama
35147,Shelby,Alabama
35148,Walker,Alabama
35149,Talladega,Alabama
35150,Talladega,Alabama
35151,Talladega,Alabama
35160,Talladega,Alabama
35161,Talladega,Alabama
35171,Chilton,Alabama
35172,Jefferson,Alabama
35173,Jefferson,Alabama
35175,Marshall,Alabama
35176,Shelby,Alabama
35178,Shelby,Alabama
35179,Cullman,Alabama
35180,Jefferson,Alabama
35181,Jefferson,Alabama
35182,Saint Clair,Alabama
35183,Coosa,Alabama
35184,Bibb,Alabama
35185,Shelby,Alabama
35186,Shelby,Alabama
35187,Shelby,Alabama
35188,Bibb,Alabama
35201,Jefferson,Alabama
35202,Jefferson,Alabama
35203,Jefferson,Alabama
35204,Jefferson,Alabama
35205,Jefferson,Alabama
35206,Jefferson,Alabama
35207,Jefferson,Alabama
35208,Jefferson,Alabama
35209,Jefferson,Alabama
35210,Jefferson,Alabama
35211,Jefferson,Alabama
35212,Jefferson,Alabama
35213,Jefferson,Alabama
35214,Jefferson,Alabama
35215,Jefferson,Alabama
35216,Jefferson,Alabama
35217,Jefferson,Alabama
35218,Jefferson,Alabama
35219,Jefferson,Alabama
35220,Jefferson,Alabama
35221,Jefferson,Alabama
35222,Jefferson,Alabama
35223,Jefferson,Alabama
35224,Jefferson,Alabama
35225,Jefferson,Alabama
35226,Jefferson,Alabama
35228,Jefferson,Alabama
35229,Jefferson,Alabama
35230,Jefferson,Alabama
35231,Jefferson,Alabama
35232,Jefferson,Alabama
35233,Jefferson,Alabama
35234,Jefferson,Alabama
35235,Jefferson,Alabama
35236,Jefferson,Alabama
35237,Jefferson,Alabama
35238,Jefferson,Alabama
35240,Jefferson,Alabama
35242,Shelby,Alabama
35243,Jefferson,Alabama
35244,Jefferson,Alabama
35245,Jefferson,Alabama
35246,Jefferson,Alabama
35249,Jefferson,Alabama
35253,Jefferson,Alabama
35254,Jefferson,Alabama
35255,Jefferson,Alabama
35259,Jefferson,Alabama
35260,Jefferson,Alabama
35261,Jefferson,Alabama
35263,Jefferson,Alabama
35266,Jefferson,Alabama
35277,Jefferson,Alabama
35278,Jefferson,Alabama
35279,Jefferson,Alabama
35280,Jefferson,Alabama
35281,Jefferson,Alabama
35282,Jefferson,Alabama
35283,Jefferson,Alabama
35285,Jefferson,Alabama
35286,Jefferson,Alabama
35287,Jefferson,Alabama
35288,Jefferson,Alabama
35289,Jefferson,Alabama
35290,Jefferson,Alabama
35291,Jefferson,Alabama
35292,Jefferson,Alabama
35293,Jefferson,Alabama
35294,Jefferson,Alabama
35295,Jefferson,Alabama
35296,Jefferson,Alabama
35297,Jefferson,Alabama
35298,Jefferson,Alabama
35299,Jefferson,Alabama
35401,Tuscaloosa,Alabama
35402,Tuscaloosa,Alabama
35403,Tuscaloosa,Alabama
35404,Tuscaloosa,Alabama
35405,Tuscaloosa,Alabama
35406,Tuscaloosa,Alabama
35407,Tuscaloosa,Alabama
35440,Tuscaloosa,Alabama
35441,Hale,Alabama
35442,Pickens,Alabama
35443,Greene,Alabama
35444,Tuscaloosa,Alabama
35446,Tuscaloosa,Alabama
35447,Pickens,Alabama
35448,Greene,Alabama
35449,Tuscaloosa,Alabama
35452,Tuscaloosa,Alabama
35453,Tuscaloosa,Alabama
35456,Tuscaloosa,Alabama
35457,Tuscaloosa,Alabama
35458,Tuscaloosa,Alabama
35459,Sumter,Alabama
35460,Sumter,Alabama
35461,Pickens,Alabama
35462,Greene,Alabama
35463,Tuscaloosa,Alabama
35464,Sumter,Alabama
35466,Pickens,Alabama
35468,Tuscaloosa,Alabama
35469,Greene,Alabama
35470,Sumter,Alabama
35471,Pickens,Alabama
35473,Tuscaloosa,Alabama
35474,Hale,Alabama
35475,Tuscaloosa,Alabama
35476,Tuscaloosa,Alabama
35477,Sumter,Alabama
35478,Tuscaloosa,Alabama
35480,Tuscaloosa,Alabama
35481,Pickens,Alabama
35482,Tuscaloosa,Alabama
35485,Tuscaloosa,Alabama
35486,Tuscaloosa,Alabama
35487,Tuscaloosa,Alabama
35490,Tuscaloosa,Alabama
35491,Greene,Alabama
35501,Walker,Alabama
35502,Walker,Alabama
35503,Walker,Alabama
35504,Walker,Alabama
35540,Winston,Alabama
35541,Winston,Alabama
35542,Fayette,Alabama
35543,Marion,Alabama
35544,Lamar,Alabama
35545,Fayette,Alabama
35546,Fayette,Alabama
35548,Marion,Alabama
35549,Walker,Alabama
35550,Walker,Alabama
35551,Winston,Alabama
35552,Lamar,Alabama
35553,Winston,Alabama
35554,Walker,Alabama
35555,Fayette,Alabama
35559,Fayette,Alabama
35560,Walker,Alabama
35563,Marion,Alabama
35564,Marion,Alabama
35565,Winston,Alabama
35570,Marion,Alabama
35571,Franklin,Alabama
35572,Winston,Alabama
35573,Walker,Alabama
35574,Lamar,Alabama
35575,Winston,Alabama
35576,Lamar,Alabama
35577,Winston,Alabama
35578,Walker,Alabama
35579,Walker,Alabama
35580,Walker,Alabama
35581,Franklin,Alabama
35582,Franklin,Alabama
35584,Walker,Alabama
35585,Franklin,Alabama
35586,Lamar,Alabama
35587,Walker,Alabama
35592,Lamar,Alabama
35593,Franklin,Alabama
35594,Marion,Alabama
35601,Morgan,Alabama
35602,Morgan,Alabama
35603,Morgan,Alabama
35609,Morgan,Alabama
35610,Lauderdale,Alabama
35611,Limestone,Alabama
35612,Limestone,Alabama
35613,Limestone,Alabama
35614,Limestone,Alabama
35615,Limestone,Alabama
35616,Colbert,Alabama
35617,Lauderdale,Alabama
35618,Lawrence,Alabama
35619,Morgan,Alabama
35620,Limestone,Alabama
35621,Morgan,Alabama
35622,Morgan,Alabama
35630,Lauderdale,Alabama
35631,Lauderdale,Alabama
35632,Lauderdale,Alabama
35633,Lauderdale,Alabama
35634,Lauderdale,Alabama
35640,Morgan,Alabama
35643,Lawrence,Alabama
35645,Lauderdale,Alabama
35646,Colbert,Alabama
35647,Limestone,Alabama
35648,Lauderdale,Alabama
35649,Limestone,Alabama
35650,Lawrence,Alabama
35651,Lawrence,Alabama
35652,Lauderdale,Alabama
35653,Franklin,Alabama
35654,Franklin,Alabama
35660,Colbert,Alabama
35661,Colbert,Alabama
35662,Colbert,Alabama
35670,Morgan,Alabama
35671,Limestone,Alabama
35672,Lawrence,Alabama
35673,Morgan,Alabama
35674,Colbert,Alabama
35677,Lauderdale,Alabama
35699,Morgan,Alabama
35739,Limestone,Alabama
35740,Jackson,Alabama
35741,Madison,Alabama
35742,Limestone,Alabama
35744,Jackson,Alabama
35745,Jackson,Alabama
35746,Jackson,Alabama
35747,Marshall,Alabama
35748,Madison,Alabama
35749,Madison,Alabama
35750,Madison,Alabama
35751,Jackson,Alabama
35752,Jackson,Alabama
35754,Morgan,Alabama
35755,Jackson,Alabama
35756,Limestone,Alabama
35757,Madison,Alabama
35758,Madison,Alabama
35759,Madison,Alabama
35760,Madison,Alabama
35761,Madison,Alabama
35762,Madison,Alabama
35763,Madison,Alabama
35764,Jackson,Alabama
35765,Jackson,Alabama
35766,Jackson,Alabama
35767,Madison,Alabama
35768,Jackson,Alabama
35769,Jackson,Alabama
35771,Jackson,Alabama
35772,Jackson,Alabama
35773,Madison,Alabama
35774,Jackson,Alabama
35775,Morgan,Alabama
35776,Jackson,Alabama
35801,Madison,Alabama
35802,Madison,Alabama
35803,Madison,Alabama
35804,Madison,Alabama
35805,Madison,Alabama
35806,Madison,Alabama
35807,Madison,Alabama
35808,Madison,Alabama
35809,Madison,Alabama
35810,Madison,Alabama
35811,Madison,Alabama
35812,Madison,Alabama
35813,Madison,Alabama
35814,Madison,Alabama
35815,Madison,Alabama
35816,Madison,Alabama
35824,Madison,Alabama
35893,Madison,Alabama
35894,Madison,Alabama
35895,Madison,Alabama
35896,Madison,Alabama
35897,Madison,Alabama
35898,Madison,Alabama
35899,Madison,Alabama
35901,Etowah,Alabama
35902,Etowah,Alabama
35903,Etowah,Alabama
35904,Etowah,Alabama
35905,Etowah,Alabama
35906,Etowah,Alabama
35907,Etowah,Alabama
35950,Marshall,Alabama
35951,Marshall,Alabama
35952,Etowah,Alabama
35953,Saint Clair,Alabama
35954,Etowah,Alabama
35956,Etowah,Alabama
35957,Marshall,Alabama
35958,Jackson,Alabama
35959,Cherokee,Alabama
35960,Cherokee,Alabama
35961,De Kalb,Alabama
35962,De Kalb,Alabama
35963,De Kalb,Alabama
35964,Marshall,Alabama
35966,Jackson,Alabama
35967,De Kalb,Alabama
35968,De Kalb,Alabama
35971,De Kalb,Alabama
35972,Etowah,Alabama
35973,Cherokee,Alabama
35974,De Kalb,Alabama
35975,De Kalb,Alabama
35976,Marshall,Alabama
35978,De Kalb,Alabama
35979,Jackson,Alabama
35980,Marshall,Alabama
35981,De Kalb,Alabama
35983,Cherokee,Alabama
35984,De Kalb,Alabama
35986,De Kalb,Alabama
35987,Saint Clair,Alabama
35988,De Kalb,Alabama
35989,De Kalb,Alabama
35990,Etowah,Alabama
36003,Autauga,Alabama
36005,Pike,Alabama
36006,Autauga,Alabama
36008,Autauga,Alabama
36009,Crenshaw,Alabama
36010,Pike,Alabama
36013,Montgomery,Alabama
36015,Butler,Alabama
